Population and dwelling counts: Canada and population centres 1,,,,,,,,,
Saint-Anselme,Small population centre,Que.,"2,729","2,688r",1.5,"1,219","1,166",3.35,814.2
Saint-Apollinaire,Small population centre,Que.,"4,933","3,335",47.9,"2,095","2,049",4.43,"1,113.10"
Saint-Augustin,Small population centre,Que.,"11,769","9,453r",24.5,"4,655","4,568",11.35,"1,036.70"
Saint-Basile-Sud,Small population centre,Que.,"1,444","1,387",4.1,715,683,1.94,745.5
Saint-Bernard,Small population centre,Que.,"1,223","1,075",13.8,505,495,0.88,"1,394.80"
Saint-Boniface,Small population centre,Que.,"1,365","1,307r",4.4,596,582,2.43,560.8
Saint-Bruno,Small population centre,Que.,"1,868","1,756",6.4,829,803,1.16,"1,616.90"
Saint-Charles,Small population centre,Que.,"1,357","1,482",-8.4,602,585,1.38,983.4
Saint-Chrysostome,Small population centre,Que.,"1,171","1,218",-3.9,550,510,1.44,814.2
Saint-Cyrille-de-Wendover,Small population centre,Que.,"1,315","1,216",8.1,545,522,0.94,"1,398.00"
Saint-Césaire,Small population centre,Que.,"3,869","3,815",1.4,"1,769","1,699",2.35,"1,647.20"
Saint-Damase,Small population centre,Que.,"1,139","1,138",0.1,504,491,1.99,572.8
Saint-Damien-de-Buckland,Small population centre,Que.,"1,206","1,203",0.2,616,598,1.56,772.8
Saint-Denis,Small population centre,Que.,"1,048",985r,6.4,500,485,1.07,978.1
Saint-Donat-de-Montcalm,Small population centre,Que.,"1,512","1,479r",2.2,"1,057",792,3.26,464.3
Saint-Elzéar,Small population centre,Que.,"1,152","1,122r",2.7,476,467,0.66,"1,753.40"
Saint-Fabien,Small population centre,Que.,"1,067","1,145",-6.8,526,499,1.53,698.1
Saint-Félicien,Small population centre,Que.,"6,751","7,096",-4.9,"3,419","3,222",8.58,786.6
Saint-Félix-de-Valois,Small population centre,Que.,"3,544","2,978",19,"1,629","1,584",4.07,870.3
Saint-Gabriel,Small population centre,Que.,"3,068","2,895r",6,"1,653","1,505",3.54,866.6
Saint-Georges,Small population centre,Que.,"27,402","27,103r",1.1,"13,743","13,176",27.09,"1,011.30"
Saint-Germain-de-Grantham,Small population centre,Que.,"3,436","3,485",-1.4,"1,435","1,407",2.66,"1,291.70"
Saint-Gédéon,Small population centre,Que.,"1,439","1,542",-6.7,673,641,2.42,595.4
Saint-Henri-de-Lévis,Small population centre,Que.,"1,761","1,735",1.5,794,777,0.95,"1,861.50"
Saint-Honoré,Small population centre,Que.,"2,394","2,265",5.7,975,957,1.99,"1,200.70"
Saint-Hyacinthe,Medium population centre,Que.,"50,616","50,104r",1,"25,081","23,974",30.8,"1,643.60"
Saint-Jacques,Small population centre,Que.,"2,647","2,269r",16.7,"1,209","1,174",3.31,800
Saint-Jean-Baptiste,Small population centre,Que.,"1,822","1,703",7,776,757,3.57,511
Saint-Jean-Port-Joli,Small population centre,Que.,"1,381","1,407",-1.8,706,668,1.71,806.4
Saint-Jean-de-Matha,Small population centre,Que.,"1,121","1,004r",11.7,546,488,2.33,480.6
Saint-Jean-sur-Richelieu,Medium population centre,Que.,"88,083","85,022r",3.6,"40,351","39,089",53.8,"1,637.30"
Saint-Joseph-de-Beauce,Small population centre,Que.,"3,494","3,695",-5.4,"1,629","1,562",4.3,812.4
Saint-Joseph-de-Lanoraie,Small population centre,Que.,"2,850","2,576",10.6,"1,242","1,204",2.89,984.7
Saint-Jovite,Small population centre,Que.,"6,206","5,744r",8,"3,626","3,088",11.41,544
Saint-Jérôme,Large urban population centre,Que.,"100,859","91,205r",10.6,"46,659","45,071",96.97,"1,040.10"
Saint-Liboire,Small population centre,Que.,"1,844","1,775",3.9,682,675,2.15,856.2
Saint-Léonard-d'Aston,Small population centre,Que.,"1,469","1,336",10,681,657,1.6,918.9
Saint-Marc-des-Carrières,Small population centre,Que.,"2,005","2,134",-6,963,927,2.61,768.6
Saint-Martin,Small population centre,Que.,"1,672","1,592r",5,784,731,3.37,496.4
Saint-Michel,Small population centre,Que.,"1,745","1,558",12,608,598,1.06,"1,654.00"
Saint-Michel-de-Bellechasse,Small population centre,Que.,"1,243","1,208r",2.9,593,536,1.89,656.1
Saint-Michel-des-Saints,Small population centre,Que.,"1,106","1,131",-2.2,579,526,1.76,627.1
Saint-Pacôme,Small population centre,Que.,"1,145",940r,21.8,410,388,1.16,985.4
Saint-Pascal,Small population centre,Que.,"2,534","2,471",2.5,"1,162","1,116",3.35,756
Saint-Pie,Small population centre,Que.,"3,189","2,980",7,"1,352","1,311",2.49,"1,281.50"
Saint-Polycarpe,Small population centre,Que.,"1,365","1,165",17.2,578,571,0.86,"1,595.90"
Saint-Prime,Small population centre,Que.,"1,069","1,021",4.7,486,462,1.05,"1,022.40"
Saint-Prosper,Small population centre,Que.,"2,006","2,319",-13.5,940,922,2.23,897.6
Saint-Raphaël,Small population centre,Que.,"1,093","1,113",-1.8,508,487,1.08,"1,013.40"
Saint-Raymond,Small population centre,Que.,"3,057","3,242r",-5.7,"1,579","1,467",4.37,699.2
Saint-Roch-de-Richelieu,Small population centre,Que.,"1,031",841r,22.6,463,448,1.49,690
Saint-Roch-de-l'Achigan,Small population centre,Que.,"2,136","1,949r",9.6,877,857,1.41,"1,515.10"
Saint-Rémi,Small population centre,Que.,"7,025","6,891",1.9,"3,065","2,986",4.01,"1,752.90"
Saint-Sauveur-des-Monts,Small population centre,Que.,"8,854","7,849",12.8,"5,635","4,786",10.06,880.2
Saint-Sulpice,Small population centre,Que.,"1,769","1,853r",-4.5,760,745,1.17,"1,515.30"
Saint-Thomas,Small population centre,Que.,"1,589","1,416r",12.2,691,674,1.63,975.3
Saint-Tite,Small population centre,Que.,"2,190","2,381",-8,"1,315","1,201",2.69,814.6
Saint-Éphrem-de-Tring,Small population centre,Que.,"1,373","1,385",-0.9,636,600,1.98,692.5
Saint-Étienne-des-Grès,Small population centre,Que.,"1,455","1,407r",3.4,609,594,2.42,600.4
Sainte-Adèle,Small population centre,Que.,"6,019","5,894r",2.1,"3,495","3,141",9.1,661.7
Sainte-Agathe-des-Monts - Val-David,Small population centre,Que.,"12,136","11,348r",6.9,"7,091","6,064",19.51,622.2
Sainte-Anne-des-Monts,Small population centre,Que.,"3,370","3,576r",-5.8,"1,924","1,750",6.43,524.2
Sainte-Anne-des-Plaines,Small population centre,Que.,"11,269","10,865",3.7,"4,560","4,482",4.07,"2,772.10"
Sainte-Brigitte-de-Laval,Small population centre,Que.,"4,872","4,244r",14.8,"1,953","1,887",6.07,802.7
Sainte-Catherine-de-la-Jacques-Cartier,Small population centre,Que.,"1,757","1,643r",6.9,661,655,0.83,"2,129.70"
Sainte-Claire,Small population centre,Que.,"2,226","2,389",-6.8,"1,064","1,024",1.8,"1,238.70"
Sainte-Croix,Small population centre,Que.,"1,424","1,401",1.6,715,650,2.29,620.9
Sainte-Julienne,Small population centre,Que.,"3,469","3,263",6.3,"1,698","1,553",6.49,534.2
Sainte-Justine,Small population centre,Que.,"1,079","1,077",0.2,483,454,1.18,915.7
Sainte-Madeleine,Small population centre,Que.,"1,989","1,959",1.5,886,863,2.38,834
Sainte-Marie,Small population centre,Que.,"10,716","11,220r",-4.5,"4,614","4,519",10.65,"1,006.10"
Sainte-Martine,Small population centre,Que.,"4,412","3,931",12.2,"1,928","1,891",3.48,"1,266.00"
Sainte-Thècle,Small population centre,Que.,"1,302","1,375r",-5.3,685,636,2.29,569.3
Salaberry-de-Valleyfield,Medium population centre,Que.,"41,655","39,655r",5,"20,450","19,596",33.93,"1,227.60"
Salluit,Small population centre,Que.,"1,107","1,255r",-11.8,327,292,0.76,"1,449.30"
Scott,Small population centre,Que.,"1,433","1,293r",10.8,614,587,2.64,543.7
Senneterre,Small population centre,Que.,"2,212","2,239",-1.2,"1,211","1,134",3.07,721
Sept-Îles,Small population centre,Que.,"21,352","22,218",-3.9,"10,818","9,672",13.25,"1,612.00"
Shannon,Small population centre,Que.,"3,131","3,179r",-1.5,"1,293","1,199",3.95,792
Shawinigan,Medium population centre,Que.,"38,930","38,695r",0.6,"21,798","20,127",31.77,"1,225.40"
Shawville,Small population centre,Que.,"1,329","1,203",10.5,624,578,1.89,703.4
Sherbrooke,Large urban population centre,Que.,"151,157","140,300r",7.7,"77,092","72,074",102.61,"1,473.10"
Sorel,Medium population centre,Que.,"36,650","36,365r",0.8,"18,639","17,887",30.61,"1,197.50"
Stanstead,Small population centre,Que.,"1,483","1,475",0.5,727,670,2.35,630.7
Stoneham,Small population centre,Que.,"1,905","1,854",2.8,719,695,2.68,710.4
Terrasse-des-Pins,Small population centre,Que.,"4,395","4,382r",0.3,"1,839","1,798",6.53,673.1
Thetford Mines,Small population centre,Que.,"17,046","16,236r",5,"8,606","8,069",15.1,"1,129.20"
Thurso,Small population centre,Que.,"2,833","2,533",11.8,"1,397","1,315",3.07,924.2
Trois-Pistoles,Small population centre,Que.,"3,031","3,076r",-1.5,"1,639","1,513",4.06,746.5
Trois-Rivières,Large urban population centre,Que.,"128,057","124,158r",3.1,"65,496","62,077",98.58,"1,299.00"
Témiscaming,Small population centre,Que.,"1,308","1,361",-3.9,719,640,1.24,"1,055.10"
Val-Maher,Small population centre,Que.,"1,674","1,668",0.4,636,628,2.98,562.2
Val-d'Or,Small population centre,Que.,"25,473","25,590r",-0.5,"12,673","12,079",25.17,"1,011.90"
Valcourt,Small population centre,Que.,"1,805","1,806",-0.1,923,879,2.97,608.3
Vallée-Jonction,Small population centre,Que.,"1,213","1,273r",-4.7,562,543,1.06,"1,141.20"
Varennes,Small population centre,Que.,"20,591","20,585r",0,"8,275","8,163",10.36,"1,987.50"
Venise-en-Québec,Small population centre,Que.,"1,069",920r,16.2,668,539,1.43,748.5
Verchères,Small population centre,Que.,"4,359","4,429",-1.6,"1,875","1,827",2.99,"1,457.80"
Victoriaville,Medium population centre,Que.,"46,322","44,735",3.5,"22,430","21,207",35.27,"1,313.50"
Ville Lambert,Small population centre,Que.,"2,544","2,596r",-2,"1,086","1,054",2.67,951.8
Ville-Marie,Small population centre,Que.,"2,017","2,113",-4.5,"1,060","1,002",1.84,"1,096.90"
Warwick,Small population centre,Que.,"3,239","3,200",1.2,"1,519","1,463",3.89,832.3
Waskaganish,Small population centre,Que.,"1,807","1,839",-1.7,437,401,0.81,"2,227.00"
Waterloo,Small population centre,Que.,"4,727","4,273r",10.6,"2,322","2,168",7.74,611.1
Wemindji,Small population centre,Que.,"1,324","1,209r",9.5,422,335,0.71,"1,861.40"
Whapmagoostui - Kuujjuarapik,Small population centre,Que.,"1,411",365r,286.6,359,333,0.9,"1,559.80"
Windsor,Small population centre,Que.,"4,981","5,074r",-1.8,"2,298","2,216",4.92,"1,012.40"
Yamachiche,Small population centre,Que.,"1,222","1,245r",-1.8,536,524,1.85,661.4
Évain,Small population centre,Que.,"2,329","2,441r",-4.6,913,899,1.97,"1,181.00"
Ontario 2,Province,Ont.,"14,223,942","13,448,494",5.8,"5,929,250","5,491,201","892,411.76",15.9
Acton,Small population centre,Ont.,"9,377","9,462",-0.9,"3,585","3,519",7.84,"1,196.40"
Alexandria,Small population centre,Ont.,"2,906","2,845",2.1,"1,478","1,416",2.07,"1,404.60"
Alfred,Small population centre,Ont.,"1,086","1,185",-8.4,516,491,0.87,"1,254.90"
Alliston,Small population centre,Ont.,"23,253","19,092r",21.8,"8,968","8,739",18.78,"1,238.30"
Almonte,Small population centre,Ont.,"6,098","5,536r",10.2,"2,810","2,728",4.16,"1,466.60"
Amherstburg,Small population centre,Ont.,"15,177","14,003r",8.4,"6,210","6,050",13.7,"1,107.90"
Amigo Beach,Small population centre,Ont.,"1,924","1,598r",20.4,822,734,2.57,747.7
Angus - Borden CFB-BFC,Small population centre,Ont.,"14,503","12,561r",15.5,"5,158","5,008",14.19,"1,022.00"
Arnprior,Small population centre,Ont.,"11,305","10,426",8.4,"5,149","4,982",12.09,935.1
Arthur,Small population centre,Ont.,"2,628","2,556r",2.8,"1,043","1,007",4.24,619.4
Atikokan,Small population centre,Ont.,"1,929","1,965r",-1.8,"1,043",912,2.37,815.1
Attawapiskat 91A,Small population centre,Ont.,"1,586","1,501",5.7,404,359,1.33,"1,189.40"
Aylmer,Small population centre,Ont.,"7,975","7,753r",2.9,"3,243","3,131",7.2,"1,107.80"
Ayr,Small population centre,Ont.,"5,383","4,858r",10.8,"1,871","1,841",5.76,934.4
Azilda,Small population centre,Ont.,"4,793","4,716r",1.6,"2,087","2,051",4.91,976.6
Ballantrae,Small population centre,Ont.,"3,224","3,223",0,"1,494","1,455",7.06,456.4
Barrie,Large urban population centre,Ont.,"154,676","146,394r",5.7,"59,529","57,533",95.33,"1,622.50"
Barry's Bay,Small population centre,Ont.,"1,084","1,259",-13.9,586,509,2.25,481.3
Bath,Small population centre,Ont.,"1,825","1,670r",9.3,851,836,3.87,471.1
Bayfield,Small population centre,Ont.,"1,394","1,235r",12.9,"1,066",717,2.86,487.4
Beamsville,Small population centre,Ont.,"13,323","11,869r",12.3,"4,970","4,866",9.89,"1,347.80"
Beaverton,Small population centre,Ont.,"3,347","2,822",18.6,"1,456","1,344",4.81,696.3
Beeton,Small population centre,Ont.,"4,151","3,891",6.7,"1,533","1,510",2.5,"1,659.10"
Belleville,Medium population centre,Ont.,"75,052","68,859r",9,"33,827","32,433",89.48,838.7
Belmont,Small population centre,Ont.,"1,275","1,140",11.8,500,492,0.99,"1,284.60"
Big Bay Point,Small population centre,Ont.,"1,670",844r,97.9,"1,365",770,2.63,636
Binbrook,Small population centre,Ont.,"10,791","8,794",22.7,"3,549","3,510",6.41,"1,684.50"
Blenheim,Small population centre,Ont.,"4,487","4,344",3.3,"2,110","2,036",4.6,974.5
Blind River,Small population centre,Ont.,"2,174","2,284",-4.8,"1,142","1,068",3.82,569.7
Bobcaygeon,Small population centre,Ont.,"3,576","3,525",1.4,"1,895","1,740",5.15,694.4
Bolton,Small population centre,Ont.,"26,795","26,378",1.6,"9,158","8,823",20.71,"1,294.00"
Bourget,Small population centre,Ont.,"1,175","1,169",0.5,462,450,2.23,527.8
Bowmanville - Newcastle,Medium population centre,Ont.,"56,742","48,929r",16,"21,017","20,486",31.23,"1,816.80"
Bracebridge,Small population centre,Ont.,"9,884","9,232",7.1,"4,470","4,269",13.38,738.5
Bradford,Medium population centre,Ont.,"38,128","30,765r",23.9,"12,210","11,809",16.1,"2,368.20"
Brantford,Large urban population centre,Ont.,"104,413","98,250r",6.3,"43,130","41,539",62.13,"1,680.60"
Bridgenorth - Chemong Park Area,Small population centre,Ont.,"3,072","2,950r",4.1,"1,321","1,208",6.98,439.9
Brighton,Small population centre,Ont.,"5,847","5,879r",-0.5,"2,836","2,713",7.02,833.2
Brockville,Small population centre,Ont.,"22,293","21,854",2,"11,163","10,710",18.7,"1,192.30"
Burford,Small population centre,Ont.,"1,058",792r,33.6,449,440,2.01,525.3
Caledon,Small population centre,Ont.,"1,466","1,482",-1.1,508,495,2.84,515.5
Caledon East,Small population centre,Ont.,"4,568","4,282",6.7,"1,458","1,412",6.44,709.9
Caledonia,Small population centre,Ont.,"12,179","9,833r",23.9,"4,434","4,311",9.18,"1,326.70"
Campbellford,Small population centre,Ont.,"3,372","3,473",-2.9,"1,608","1,510",3.72,906.8
Cannington,Small population centre,Ont.,"1,839","1,845",-0.3,757,727,1.81,"1,018.00"
Capreol,Small population centre,Ont.,"2,919","2,920r",0,"1,285","1,257",2.26,"1,294.20"
Cardinal,Small population centre,Ont.,"1,770","1,717",3.1,863,831,2.44,724.9
Carleton Place,Small population centre,Ont.,"13,940","11,970r",16.5,"5,876","5,741",12.89,"1,081.70"
Carlisle,Small population centre,Ont.,"1,858","1,869",-0.6,636,626,2.56,725.4
Carp,Small population centre,Ont.,"1,477","1,290r",14.5,558,552,2.05,721.6
Casselman,Small population centre,Ont.,"3,970","3,563",11.4,"1,635","1,583",5.16,770
Cayuga,Small population centre,Ont.,"1,720","1,713",0.4,727,695,2.13,806.6
Chalk River,Small population centre,Ont.,"1,061","1,044r",1.6,453,428,1.92,552.9
Chapleau,Small population centre,Ont.,"1,144","1,170",-2.2,612,543,0.59,"1,929.50"
Chatham,Medium population centre,Ont.,"45,171","43,550",3.7,"20,559","19,735",31.21,"1,447.40"
Chelmsford,Small population centre,Ont.,"6,199","6,220r",-0.3,"2,826","2,729",5.5,"1,126.90"
Chesley,Small population centre,Ont.,"1,879","1,843",2,866,809,1.91,982.9
Chesterville,Small population centre,Ont.,"1,564","1,677",-6.7,651,636,1.86,839.9
Chippawa,Small population centre,Ont.,"6,077","5,620",8.1,"2,519","2,435",3.72,"1,633.80"
Claremont,Small population centre,Ont.,"1,215","1,202",1.1,413,402,2.12,573.6
Clinton,Small population centre,Ont.,"3,113","3,049",2.1,"1,452","1,390",2.89,"1,075.30"
Cobourg,Small population centre,Ont.,"19,830","19,031",4.2,"9,213","8,844",15.57,"1,273.20"
Cochrane,Small population centre,Ont.,"3,774","3,669r",2.9,"1,748","1,626",3.66,"1,031.70"
Colborne,Small population centre,Ont.,"1,474","1,577",-6.5,696,668,1.74,847.6
Colchester,Small population centre,Ont.,"2,334","2,229",4.7,"1,231","1,031",3.06,763.9
Collingwood,Small population centre,Ont.,"22,983","20,213r",13.7,"12,133","10,314",16.38,"1,403.10"
Coniston,Small population centre,Ont.,"1,782","1,814",-1.8,778,752,2.25,793.4
Constance Bay,Small population centre,Ont.,"2,263","2,314",-2.2,"1,107",988,5.56,407
Cookstown,Small population centre,Ont.,"1,647","1,214",35.7,557,546,1.14,"1,440.60"
Cornwall,Medium population centre,Ont.,"47,286","46,114r",2.5,"21,999","21,189",32.4,"1,459.60"
Corunna,Small population centre,Ont.,"6,266","5,822r",7.6,"2,530","2,449",3.79,"1,654.50"
Craigleith and Swiss Meadows,Small population centre,Ont.,"1,259",546r,130.6,"1,182",614,3.08,409
Creemore,Small population centre,Ont.,"1,194","1,170",2.1,508,469,1.59,750.8
Crystal Beach,Small population centre,Ont.,"9,531","8,524",11.8,"5,229","4,306",11.34,840.5
Deep River,Small population centre,Ont.,"3,860","3,782r",2.1,"1,852","1,748",4.31,896.2
Delhi,Small population centre,Ont.,"5,344","5,069r",5.4,"2,357","2,279",3.83,"1,394.20"
Deseronto,Small population centre,Ont.,"1,598","1,645",-2.9,732,658,1.27,"1,258.90"
Dorchester,Small population centre,Ont.,"4,355","4,400r",-1,"1,670","1,657",5.81,749.1
Dowling,Small population centre,Ont.,"1,449","1,466",-1.2,575,561,1.35,"1,073.90"
Drayton,Small population centre,Ont.,"2,279","2,111",8,803,780,2.8,813.9
Dresden,Small population centre,Ont.,"2,401","2,451",-2,"1,070","1,039",2.78,863.3
Dryden,Small population centre,Ont.,"5,355","5,596r",-4.3,"2,647","2,475",6.53,820.4
Dundalk,Small population centre,Ont.,"2,803","2,046",37,"1,055",997,2.41,"1,161.80"
Dunnville,Small population centre,Ont.,"5,907","5,759",2.6,"2,735","2,584",5.44,"1,086.80"
Durham,Small population centre,Ont.,"2,755","2,609",5.6,"1,245","1,191",3.24,849.6
Dutton,Small population centre,Ont.,"1,658","1,454r",14,687,668,2,830.5
Eganville,Small population centre,Ont.,"1,149","1,085r",5.9,570,527,2.26,508.2
Elliot Lake,Small population centre,Ont.,"10,998","10,503r",4.7,"5,993","5,664",10.27,"1,071.40"
Elmira,Small population centre,Ont.,"10,790","10,273r",5,"4,173","4,103",8.15,"1,323.30"
Elmvale,Small population centre,Ont.,"2,520","2,314",8.9,"1,064","1,037",1.98,"1,275.10"
Embrun,Small population centre,Ont.,"8,680","6,968r",24.6,"3,278","3,229",10.18,852.3
Englehart,Small population centre,Ont.,"1,371","1,418",-3.3,684,648,1.31,"1,047.10"
Erin,Small population centre,Ont.,"2,725","2,647",2.9,"1,035","1,008",4.1,664.9
Espanola,Small population centre,Ont.,"3,986","3,714r",7.3,"1,881","1,793",3.87,"1,030.50"
Essex,Small population centre,Ont.,"8,233","7,446",10.6,"3,411","3,304",5.56,"1,481.10"
Everett,Small population centre,Ont.,"1,570","1,670",-6,553,540,1.58,992
Exeter,Small population centre,Ont.,"4,863","4,649",4.6,"2,200","2,139",4.39,"1,107.20"
Factory Island,Small population centre,Ont.,"1,530","1,812r",-15.6,605,474,1.44,"1,065.50"
Fenelon Falls,Small population centre,Ont.,"2,490","2,464",1.1,"1,466","1,183",3.98,625.7
Fergus,Small population centre,Ont.,"23,209","20,928r",10.9,"9,403","9,158",18.31,"1,267.60"
Forest,Small population centre,Ont.,"2,429","2,277",6.7,"1,128","1,085",2.33,"1,042.80"
Fort Erie,Small population centre,Ont.,"15,372","14,772r",4.1,"6,856","6,486",14.62,"1,051.80"
Fort Frances,Small population centre,Ont.,"7,159","7,420",-3.5,"3,631","3,311",7.29,982.2
Frankford,Small population centre,Ont.,"3,079","2,825",9,"1,308","1,268",2.91,"1,056.90"
Gananoque,Small population centre,Ont.,"5,383","5,159",4.3,"2,767","2,562",7.01,768.4
Georgetown,Medium population centre,Ont.,"44,058","42,326r",4.1,"15,501","15,266",25.7,"1,714.00"
Geraldton,Small population centre,Ont.,"1,761","1,838r",-4.2,889,798,2.64,666.8
Glencoe,Small population centre,Ont.,"2,158","2,126",1.5,992,956,2.66,810
Goderich,Small population centre,Ont.,"7,728","7,536",2.5,"3,811","3,591",4.51,"1,712.30"
Golden,Small population centre,Ont.,"1,143","1,154",-1,509,456,0.93,"1,229.70"
Grand Bend,Small population centre,Ont.,"3,031","2,684",12.9,"2,498","1,605",6.39,474.3
Grand Valley,Small population centre,Ont.,"2,720","1,825r",49,"1,021",999,2.88,945.9
Gravenhurst,Small population centre,Ont.,"5,789","5,660r",2.3,"2,732","2,569",6.32,916.1
Guelph,Large urban population centre,Ont.,"144,356","132,705r",8.8,"59,899","56,666",79.57,"1,814.30"
Hagersville,Small population centre,Ont.,"3,059","2,939",4.1,"1,326","1,289",3.15,971.5
Haileybury,Small population centre,Ont.,"3,247","3,281r",-1,"1,558","1,449",3,"1,080.60"
Haliburton Village,Small population centre,Ont.,"1,078","1,149",-6.2,557,514,2.2,491.1
Hamilton,Large urban population centre,Ont.,"729,560","693,362r",5.2,"300,424","288,383",356.03,"2,049.20"
Hanover,Small population centre,Ont.,"7,761","7,507r",3.4,"3,690","3,348",7.14,"1,086.60"
Harriston,Small population centre,Ont.,"1,887","1,797",5,732,702,1.3,"1,446.10"
Harrow,Small population centre,Ont.,"2,562","2,710",-5.5,"1,039","1,012",2.86,897.1
Hastings,Small population centre,Ont.,"1,388","1,159r",19.8,714,639,2.15,644.5
Havelock,Small population centre,Ont.,"1,055","1,175",-10.2,486,443,1.15,915.5
Hawkesbury,Small population centre,Ont. / Que.,"11,755","11,732r",0.2,"6,139","5,867",10.82,"1,086.40"
Hawkesbury (Ontario part),Small population centre,Ont.,"9,975","10,055",-0.8,"5,208","4,983",8.34,"1,195.60"
Hawkesbury (Quebec part),Small population centre,Que.,"1,780","1,677r",6.1,931,884,2.48,718.8
Hearst,Small population centre,Ont.,"3,537","3,835",-7.8,"1,775","1,691",5.02,704.4
Hensall,Small population centre,Ont.,"1,126","1,021r",10.3,468,453,1.86,603.9
Horseshoe Valley,Small population centre,Ont.,"1,127",866r,30.1,418,407,2.68,420.6
Huntsville,Small population centre,Ont.,"6,639","6,482",2.4,"3,206","2,971",8.73,760.6
Ilderton,Small population centre,Ont.,"2,250","1,985r",13.4,793,785,1.19,"1,893.90"
Ingersoll,Small population centre,Ont.,"13,607","12,694r",7.2,"5,594","5,435",10.32,"1,318.70"
Ingleside,Small population centre,Ont.,"1,487","1,384",7.4,670,657,1.76,846
Innerkip,Small population centre,Ont.,"1,342",894r,50.1,491,486,1.47,914.2
Innisfil,Small population centre,Ont.,"29,464","24,277r",21.4,"11,265","10,475",23.71,"1,242.50"
Iroquois,Small population centre,Ont.,"1,406","1,299r",8.2,663,650,2.01,698.6
Iroquois Falls,Small population centre,Ont.,"2,866","2,955",-3,"1,422","1,351",1.56,"1,834.50"
Jarvis,Small population centre,Ont.,"1,214","1,084r",12,439,427,0.56,"2,159.80"
Kanata,Large urban population centre,Ont.,"137,118","118,308r",15.9,"49,662","48,713",62.35,"2,199.20"
Kapuskasing,Small population centre,Ont.,"7,092","7,378",-3.9,"3,723","3,395",8.63,822.1
Kasabonika Lake,Small population centre,Ont.,"1,060",849r,24.9,252,228,1.13,934.3
Kemptville,Small population centre,Ont.,"4,051","3,911",3.6,"1,851","1,796",3.73,"1,085.90"
Kenora,Small population centre,Ont.,"10,974","11,112r",-1.2,"5,534","4,958",15.25,719.6
Keswick - Elmhurst Beach,Small population centre,Ont.,"27,145","26,999r",0.5,"10,284","9,841",16.56,"1,639.20"
Kincardine,Small population centre,Ont.,"9,343","8,506r",9.8,"4,574","3,995",9.59,973.9
King,Small population centre,Ont.,"8,396","6,970",20.5,"2,730","2,662",14.2,591.1
Kingston,Large urban population centre,Ont.,"127,943","119,061r",7.5,"61,662","56,450",83.43,"1,533.60"
Kirkland Lake,Small population centre,Ont.,"6,180","6,305",-2,"3,581","3,082",4.17,"1,480.70"
Kitchener,Large urban population centre,Ont.,"522,888","473,230r",10.5,"210,386","200,052",296.45,"1,763.80"
L'Orignal,Small population centre,Ont.,"1,359","1,483r",-8.4,636,595,2.91,467.6
Lakefield,Small population centre,Ont.,"2,943","2,768r",6.3,"1,371","1,321",2.69,"1,093.70"
Leamington,Medium population centre,Ont.,"35,730","33,049r",8.1,"14,121","13,495",31.77,"1,124.70"
Limoges,Small population centre,Ont.,"2,213","2,048",8.1,805,797,1.22,"1,807.30"
Lindsay,Small population centre,Ont.,"22,367","20,713",8,"10,300","9,821",15.57,"1,436.70"
Listowel,Small population centre,Ont.,"9,539","7,530",26.7,"4,023","3,910",6.73,"1,417.00"
Little Current,Small population centre,Ont.,"1,210","1,558",-22.3,728,565,2.23,542.6
Lively,Small population centre,Ont.,"5,569","5,613r",-0.8,"2,261","2,154",11.67,477.2
London,Large urban population centre,Ont.,"423,369","384,784r",10,"186,675","174,961",244.97,"1,728.30"
Long Sault,Small population centre,Ont.,"2,154","1,951r",10.4,896,876,2.35,917.1
Longlac,Small population centre,Ont.,"1,316","1,434",-8.2,650,562,1.74,756.7
Lucan,Small population centre,Ont.,"3,089","2,541",21.6,"1,215","1,185",2.01,"1,534.70"
Lucknow,Small population centre,Ont.,"1,154","1,121",2.9,506,486,1.69,683.2
Madoc,Small population centre,Ont.,"1,489","1,540r",-3.3,744,701,2.19,680.2
