Name,Organization,City/Town,Address,UPHNS #,Status
Lookout (Langley),FHA,Langley,"5714 Glover Rd #102 Langley, BC V3A 4H8,Canada",2-072,Active
Lookout OPS Van (Langley Memorial Hospital),MOUNT,Langley,"22051 Fraser Highway Langley, BC V3A 4H4,Canada",2-039,Active
Lookout Society Cole Starnes,MOUNT,Abbotsford,"1670 Riverside Road Abbotsford, BC V2S 8J2,Canada",2-026,Active
Lookout Society Red Lion,MOUNT,Abbotsford,"2509 Pauline Street Abbotsford, BC V2S 8J2,Canada",2-034,Active
Lookout Society Riverside,MOUNT,Abbotsford,"1670 Riverside Road Abbotsford, BC V2S8J2,Canada",2-026,Inactive
MCS The Haven,MOUNT,Mission,"32646 Logan Avenue Mission, BC V2V 6C7,Canada",2-025,Active
MRSOS,MOUNT,Maple Ridge,"11739 223rd Street Maple Ridge, BC V2X 5X6,Canada",2-033,Active
Manshadi's (North Shore),ASK,Kamloops," ,  ,",1-009,Active
Maple Ridge Mods,LMPS,Maple Ridge," ,  ,",2-008,Active
Martin St Outreach Centre OPS,ASK,Penticton,"437 Martin St #101 Penticton, BC V2A 5L1,Canada",1-005,Active
Mazarine Lodge,LMPS,New Westminster," ,  ,",2-008,Active
Medicine Shoppe Pharmacy,MSP,Vernon,"3605 31 St #100 Vernon, BC V1T 5J4,Canada",1-034,Active
Molson OPS,PHS,Vancouver,"166 E Hastings St Vancouver, BC V6A 1N4,Canada",,Inactive
Molson OPS,VCH,Vancouver,"166 E Hastings St Vancouver, BC V6A 1N4,Canada",3-014,Active
Molson OPS,BCCSU,Vancouver,"166 E Hastings St Vancouver, BC V6A 1N4,Canada",,Inactive
Mountainside Harm Reduction Society,MOUNT,Chilliwack,45951 Tretheway Avenue. Chilliwack. B.C.V2P 1K4,,Active
NVSSS Merritt Shelter,ASK,Merritt,"2038 Nicola Avenue Merritt, BC V1K 1B8,Canada",1-014,Active
Neon Jungle Music Festival 2024,AAWEAR,Chokio,"Camp Maatsowanikapii Chokio, Alberta T0K 0H0,Canada",,Active
New West MH&SU Centre (6th St),LMPS,New Westminster,"403 6th St #390, New Westminster, BC V3L 3B1",2-008,Active
New West MH&SU Centre (RCH),LMPS,New Westminster," ,  ,",2-008,Active
Norland Place,LMPS,Burnaby,"3968 Norland Avenue Burnaby, BC V5G 4T9,Canada",2-032,Active
OAD 2020,GYDT,Vancouver," ,  ,",,Inactive
OAD 2021,ASK,Penticton,"Gyro Park Penticton,  ,",,Inactive
OAD 2021,BCCSU,Vancouver,"VANDU Vancouver,  ,",,Inactive
ODAX 2019,ASK,Kamloops," ,  ,",,Inactive
OUH (Kelowna),IHA,Kelowna,"1649 Pandosy St Kelowna, BC V1Y 1P6,Canada",1-016,Active
OneSky Education Event,ASK,Penticton,"847 Winnipeg St Penticton, BC V2A 5N3,Canada",,Active
Osborn Shelter,GYDT,Vancouver," ,  ,",,Active
Outreach Hub,PROG,Burnaby,"7836 6th Street Burnaby, BC V3N 3N2,Canada",2-029,Active
Outreach Urban Health,UBCO,Kelowna,"1649 Pandosy St, Kelowna, BC V1Y 1P6",,Inactive
Overdose Prevention Community Health Fair 2022,POUNDS,Prince George,"749 5th Avenue Prince George, BC V2L3H4,Canada",,Inactive
Overdose Prevention Society,VCH,Vancouver,"141 E Hastings St, Vancouver, BC V6A 1N5",Pending,Active
Overdose Prevention Society,BCCSU,Vancouver,"141 E Hastings St, Vancouver, BC V6A 1N5",,Inactive
P+OPS Mobile (Penticton),ASK,Penticton,Penticton V2A 0H3,1-029,Active
PCRS Wellness Centre,MOUNT,Chilliwack,"45951 Tretheway Avenue Chilliwack, BC V2P 1K4,Canada",2-035,Active
POUNDS,POUNDS,Prince George,"1126 3rd Ave Prince George, BC V2L 3E5,Canada",5-001,Active
Paradise Music Festival 2024,BT4D,Marsh Lake,"Kettley Canyon Marsh Lake, YT Y0B 1Y0,Canada",,Active
Pathways Addiction Resources Center,ASK,Penticton,"996 Main St Penticton, BC V2A 5E4,Canada",,Inactive
PeacePoint,SOURCES,White Rock,"15521 Russell Avenue White  Rock, BC V4B 5M2,Canada",2-002,Active
Peer Hub,RAIN,Maple Ridge,"22522 Lougheed Hwy Maple Ridge, BC V2X 2V1,Canada",2-012,Active
Peer Hub (Maple Ridge),LMPS,Maple Ridge,"22522 Lougheed Hwy Maple Ridge,  V2X 2V1,Canada",2-008,Active
Penticton Indian Band Health Center,ASK,Penticton," ,  ,",,Active
Penticton MHSU,UBCO,Penticton," Penticton,  ,",,Inactive
Penticton Soupateria,ASK,Penticton,"150 Orchard Ave, Penticton, BC V2A 1X8",1-001,Active
Phoenix Society The Hub,MOUNT,Abbotsford,"32883 South Fraser Way Abbotsford, BC V2S 2A6,Canada",2-004,Active
Prince George Needle Exchange,POUNDS,Prince George,"277 George St Prince George, BC V2L1R1,Canada",5-018,Active
Prince Rupert Outreach,NHA,Prince Rupert,"6th St and 3rd Ave W Prince Rupert, BC V8J1L4,Canada",5-011,Active
Prince Rupert Outreach (NHA),POUNDS,Prince Rupert,"6th St and 3rd Ave W Prince Rupert, BC ,",NHA,Active
Princeton Family Services Society,ASK,Princeton,"56 Kenley Ave, Princeton, BC V0X 1W0",1-001,Active
Public Health Unit (Chilliwack),MOUNT,Chilliwack,"45470 Menholm Road Chilliwack, BC V2P 1M2,Canada",2-017,Active
Purpose Society,LMPS,New Westminster,"40 Begbie Street New Westminster, BC V3M 3L9,Canada",2-001,Active
Purpose Society (Collection),PROG,New Westminster,"40 Begbie Street New Westminster, BC V3M 3L9,Canada",2-001,Active
Quesnel Specialized Services,POUNDS,Quesnel,"395 Elliott Street Quesnel, BC V2J 1Y4,Canada",5-019,Active
RLLFCHC,BCCSU,Vancouver," ,  ,",,Inactive
RLLFCHC,VCH,Vancouver," ,  ,",,
Release to the Wild Music Festival 2022,ASK,Rock Creek," ,  ,",,Inactive
Rifflandia Music Festival 2018,BCCSU,Victoria," ,  ,",,Inactive
Ruth and Naomi's (Chilliwack),MOUNT,Chilliwack,"46130 Margaret Avenue Chilliwack, BC V2P 4Z1,Canada",2-015,Active
SOWINS Drop-In Centre,ASK,Penticton," Penticton,  ,",1-004,Active
SOWINS Mobile (Cawston),ASK,Cawston," Cawston,  ,",1-004,Active
SOWINS Mobile (Keremeos),ASK,Keremeos," Keremeos,  ,",1-004,Active
SOWINS Mobile (Princeton),ASK,Princeton," Princeton,  ,",1-004,Active
SafeLink,AAWEAR,Calgary,"1944 10 Ave SW Calgary, Alberta T3C 0J8,Canada",,Active
SafePoint,FHA,Surrey,"10681 135A Street Surrey, BC V3T 4E3,Canada",2-011,Active
SafePoint,BCCSU,Surrey,"13459 107a Ave, Surrey, BC V3T 4E3",,Inactive
SafePoint,VCH,Vancouver," ,  ,",,Inactive
SafePoint,RAIN,Surrey,"10681 135A Street Surrey, BC V3T 4E3,Canada",2-011,Active
SafePoint,LMPS,Surrey,"10681 135A Street Surrey, BC V3T 4E3,Canada",2-011,Active
Salvation Army (Gibsons),LIFT,Gibsons,"682 Gibsons Way Gibsons, BC V0N 1V9,Canada",Temp,Active
Salvation Army (Maple Ridge),LMPS,Maple Ridge,"22188 Lougheed Hwy Maple Ridge, BC V2X 2S8,Canada",2-008,Active
Sechelt Hospital MHSU 2,LIFT,Sechelt,"5544 Sunshine Coast Hwy Sechelt, BC V0N 3A0,Canada",3-008,Active
Sechelt Hospital MHSU 2,TNH,Sechelt,"5544 Sunshine Coast Hwy Sechelt, BC V0N 3A0,Canada",3-008,Active
Sechelt OPS,LIFT,Sechelt,"5653 Wharf Avenue Seschelt, BC V0N 3A0,Canada",TBA,Active
Seven Sisters Terrace,NHA,Terrace,"2815 Tetrault Street Terrace, BC V8G2W6,Canada",5-010,Active
Seven Sisters Terrace (NHA),POUNDS,Terrace,"2815 Tetrault Street Terrace, BC V8G2W6,Canada",5-010,Active
Shambhala Music Festival 2021 Night 1,ANKORS,Salmo," ,  ,",1-900,Inactive
Shambhala Music Festival 2021 Night 2,ANKORS,Salmo," ,  ,",1-900,Inactive
Shambhala Music Festival 2021 Night 3,ANKORS,Salmo," ,  ,",1-900,Inactive
Shambhala Music Festival 2022,IHA,Salmo," ,  ,",1-900,Inactive
Shambhala Music Festival 2023,IHA,Salmo,"Salmo River Ranch, 7790 Highway 3 Salmo, BC V0G 1Z0,Canada",1-900,Inactive
Shambhala Music Festival 2024,IHA,Salmo,"Salmo River Ranch, 7790 Highway 3 Salmo, BC V0G 1Z0,Canada",1-900,Inactive
Shuswap Indian Band Health Centre,ANKORS,Invermere,"9975 Althamer Road Invermere, BC V0A 1K2,Canada",1-002,Active
SisterSpace,VCH,Vancouver,"135 Dunlevy Ave, Vancouver, BC V6A 3A4",Pending,Inactive
SisterSpace,BCCSU,Vancouver,"135 Dunlevy Ave, Vancouver, BC V6A 3A4",,Inactive
Smithers Outreach,NHA,Smithers,"3682 A Broadway Ave Smithers, BC V0J2N0,Canada",5-003,Active
Smithers Outreach (NHA),POUNDS,Smithers,"3682 A Broadway Ave Smithers, BC V0J2N0,",5-003,Active
Smithers Specialized MHSU Outreach Team,NHA,Smithers,"Aldous St & Railway Ave Smithers, BC V0J 2N0,Canada",5-023,Active
Snowbombing Music Festival 2019,ASK,Sun Peaks," ,  ,",,Inactive
Song and Surf Music Festival 2024,CMHA,Port Renfrew,"6638 Deering Rd Port Renfrew, BC V0S 1K0,Canada",,Inactive
Sperling Shelter,LMPS,Burnaby,"3860 Sperling Ave Burnaby, BC V5B 4X5,Canada",2-008,Active
Squamish,VCH,Squamish," ,  ,",,
Squamish OPS,WCSS,Squamish,"37930 Third Avenue Squamish, BC V8B 0R2,Canada",3-017,Active
St. Paul's OPS,VCH,Vancouver," ,  ,",Pending,Active
St. Paul's OPS,BCCSU,Vancouver," ,  ,",,Inactive
Substance,UVIC,Victoria," Victoria, BC ,Canada",,
Sunfest Music Festival 2023,CMHA,Lake Cowichan,"8811-2 Youbou Rd Lake Cowichan, BC V0R 2G1,Canada",,Inactive
Sunfest Music Festival 2024,CMHA,Lake Cowichan,"8811-2 Youbou Rd Lake Cowichan, BC V0R2G1,Canada",,Inactive
Supportive Housing,LIFT,Powell River,"4910 Joyce Ave Powell River, BC V8A 0V5,",3-006,Active
Supportive Housing (THN),TNH,Powell River,"4910 Joyce Ave Powell River, BC V8A 0V5,Canada",3-006,Active
SureStay,LMPS,Coquitlam,"725 Brunette Ave Coquitlam, BC V3K 6A6,Canada",2-010,Active
TPCS (Vernon),ASK,Vernon," ,  ,",,Inactive
Taboo 2023,AAWEAR,Calgary,"20 Round Up Way SE Calgary, Alberta T2G2W1,Canada",,Inactive
Terrace ICMT,NHA,Terrace,"101-4450 Greig Ave Terrace, BC V8G1M3,Canada",5-002,Active
Terrace ICMT (NHA),POUNDS,Terrace,"101-4450 Greig Ave Terrace, BC V8G1M3,",5-002,Active
Terrace Mobile ICMT,NHA,Terrace,"Lakelse Ave & Emerson St Terrace, BC V8G 1R2,Canada",5-007,Active
Terrace Mobile ICMT (NHA),POUNDS,Terrace,"Lakelse Ave & Emerson St Terrace Terrace, BC V8G 1R2,Canada",5-007,Active
The Branch,ASK,Kamloops," ,  ,",,Active
The Bus (IH Mobile OPS),ASK,Kamloops," ,  ,",,Active
The Centre (Penticton),UBCO,Penticton," Penticton, BC ,",,Inactive
The Hub,ANKORS,Nelson,"521 Vernon St, Nelson, BC V1L 1S5",,Inactive
The Hub (Vancouver),VCH,Vancouver,"144 East Hastings Vancouver, BC V6A 1N4,Canada",3-003,Active
The Russell,LMPS,New Westminster,"740 Carnarvon New Westminster, BC V3M1E7,Canada",2-008,Active
Three Bridges CHC,BCCSU,Vancouver," ,  ,",,Inactive
Three Bridges CHC,VCH,Vancouver," ,  ,",,
Tla'amin Nation,TNH,Powell River,"5160 Hwy 101 Powell River, BC V8A 0B3,Canada",3-007,Active
Travelodge Shelter,ANKORS,Cranbrook,"1417 Cranbrook Street North Cranbrook, BC ,V1C  3S7 Canada",1-002,Active
UBC AMS Nest,GYDT,Vancouver,"6133 University Blvd Vancouver, BC ,",,Active
UBC Halloween 2024,VCH,Vancouver,"6138 Student Union Boulevard Vancouver, BC V6T 1Z1,Canada",,Active
UBCO,UBCO,Kelowna,"255 Lawrence Ave, Kelowna, BC V1V 1V7",1-006,Inactive
UBCO 2019,ASK,Kelowna," ,  ,",,Inactive
UBCO Frosh 2022,UBCO,Kelowna," ,  ,",,Inactive
VEPAD,MSP,Vernon,"2600 35th St Vernon, BC V1T 0B4,Canada",1-037,Active
Vancouver Pride 2018,VCH,Vancouver," ,  ,",,Inactive
Vancouver Pride 2018,BCCSU,Vancouver," ,  ,",,Inactive
Vernon CMHA Youth,MSP,Vernon,"3304 30th Ave Vernon, BC V1T 2C8,Canada",1-039,Active
Vernon MHSU,MSP,Vernon,"3306A 32nd Ave Vernon, BC V1T 2M6,Canada",1-003,Active
Vernon MHSU,UBCO,Vernon,"1440 - 14th Avenue Vernon, BC , V1B 2T1",,Inactive
Victory Shelter (Penticton),ASK,Penticton," Penticton,  ,",1-001,Active
WCSS,WCSS,Whistler,"8000 Nesters Rd Whistler, BC V8E 0G4,Canada",3-005,Active
Warehouse Rave 2023,UBCO,Kelowna,"1516 Keehn Road Kelowna, BC V1X 5T3,Canada",,Inactive
Warm Zone,MOUNT,Abbotsford,"33264 Old Yale Road Abbotsford, BC V3S 8C5,Canada",2-016,Active
Wicked Woods Music Festival 2024,ANKORS,Fairmont Hot Springs,"3901 Kootenay Highway 93/95 Fairmont Hot Springs, BC V0B1L1,Canada",1-002,Active
Wicked Woods Music Festival August 2022,ANKORS,Fairmont Hot Springs,"3901 Kootenay Highway 93/95 Fairmont Hot Springs, BC V0B 1L1,Canada",1-002,Inactive
Wicked Woods Music Festival June 2023,ANKORS,Fairmont Hot Springs,"3901 Kootenay Highway 93/95 Fairmont Hot Springs Fairmont Hot Springs, BC V0B 1L1,Canada",1-002,Inactive
Wicked Woods Music Festival May 2022,ANKORS,Fairmont Hot Springs,"3901 Kootenay Highway 93/95 Fairmont Hot Springs, BC V0B 1L1,Canada",1-002,Inactive
Williams Lake MHSU,ASK,Williams Lake," ,  ,",1-017,Active
iOAT Clinic,LIFT,Powell River,"7019 Alberni St Powell River, BC V8A 2C2,Canada",,Active
iOAT Clinic,TNH,Powell River,"7019 Alberni St Powell River, BC V8A 2C2,Canada",,